Language,Family,Location in Glottolog (lat),Location in Glottolog (long),Glottocode
Apinayé,Macro-Jê,"-610,774","-476,315",apin1244
Bora,Witoto,"-2,000,259","-72,257,066",bora1263
Ese'eja,Takanan,"-117,268","-67,515",esee1248
Guajá,Tupi-Guarani,"-393,574","-463,683",guaj1256
Hup ,Nadahup,0.58622,"-698,359",hupd1244
Jarawara ,Arawá ,"-762,223","-665,662",jama1261
Karajá,Macro-Jê,"-111,881","-503,492",kara1500
Kashibo-Kakataibo ,Panoan,"-870,232","-754,206",cash1251
kokama-kukamiria,Tupi-Guarani (uncertain),-4.5,-74.0,coca1259
Kotiria,Tucanoan,"107,554","-695,705",guan1269
Kubeo,Tucanoan,"132,382","-701,939",cube1242
Kwaza ,Kwaza ,"-116,667","-611,833",kwaz1243
Mako,Saliban,"45,621","-665,813",maco1239
Mamaindê,Nambiquaran,"-12,986,439","-60,101,072",mama1278
Murui Huitoto,Witoto,"-113,669","-738,331",muru1274
Myky,Irantxe-Myky,"-127,178","-579,806",iran1263
Shipibo-Conibo,Panoan,"-717,105","-748,219",ship1254
Tariana,Arawakan,0.440205,"-689,042",tari1256
Trio/Tiriyo,Cariban,"253,616","-557,599",trio1238
Urarina,Urarina,"-444,006","-754,211",urar1246
Wampis,Jiváron/Chicham,"-399,109","-779,797",huam1247
Wansöjöt,Wansöjöt,"392,974","-676,886",puin1248
Yagua,Peba-Yagua,"-342,913","-722,186",yagu1244
Paresi,Arwakan,"-145,929","-574,059",pare1272
Kulina ,Arawá ,"-617,715","-720,438",kuli1255
Katukina-Kanamari,Katukinan,"-645,399","-687,678",kana1291
Guahibo/Sikuani,Guahibo ,"581,736","-689,839",guah1255
Wari,Txapakura ,"-1,069,948","-6,456,152",wari1268
Paez,Paez,"261,516","-7,631,254",paez1247
Trumai,Trumai,"-118,119","-535,717",trum1247
